,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26
99,1749,2,113,25,,23,2021-05-05 14:10:45,2021-05-05 14:10:45,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
100,1748,2,113,24,,21,2021-05-05 14:10:45,2021-05-05 14:10:45,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
101,1747,2,113,23,,19,2021-05-05 14:10:45,2021-05-05 14:10:45,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
102,1746,2,113,22,,17,2021-05-05 14:10:45,2021-05-05 14:10:45,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
103,1745,2,113,21,,15,2021-05-05 14:10:45,2021-05-05 14:10:45,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
104,1744,2,113,20,,13,2021-05-05 14:10:45,2021-05-05 14:10:45,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
105,1743,2,113,19,,11,2021-05-05 14:10:45,2021-05-05 14:10:45,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
106,1742,2,113,18,,9,2021-05-05 14:10:45,2021-05-05 14:10:45,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
107,1741,2,113,17,,7,2021-05-05 14:10:45,2021-05-05 14:10:45,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
108,1740,2,113,16,,5,2021-05-05 14:10:45,2021-05-05 14:10:45,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
109,1734,2,113,26,,25,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
110,1733,2,113,25,,23,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
111,1732,2,113,24,,21,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
112,1731,2,113,23,,19,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
113,1730,2,113,22,,17,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
114,1729,2,113,21,,15,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
115,1728,2,113,20,,13,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
116,1727,2,113,19,,11,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
117,1726,2,113,18,,9,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
118,1725,2,113,17,,7,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
119,1724,2,113,26,,5,2021-05-03 16:12:50,2021-05-03 16:12:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,null
120,1623,2,113,26,ok,25,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
121,1429,2,113,26,,5,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,null
122,1430,2,113,17,,7,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
123,1431,2,113,18,,9,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
124,1432,2,113,19,,11,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
125,1433,2,113,20,,13,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
126,1434,2,113,21,,15,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
127,1435,2,113,22,,17,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
128,1436,2,113,23,,19,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
129,1437,2,113,24,,21,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
130,1438,2,113,25,,23,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
131,1439,2,113,26,,25,2021-04-21 17:16:01,2021-04-21 17:16:01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
